0, 32, 74
1, 25, 109
2, 50, 102
3, 14, 127
4, 9, 82
5, 12, 82
6, 12, 69
7, 25, 96
8, 41, 106
9, 53, 86
10, 38, 106
11, 6, 93
12, 33, 79
13, 12, 109
14, 29, 93
15, 62, 123
16, 38, 101
17, 49, 96
18, 6, 84
19, 41, 106
20, 7, 95
21, 38, 85
22, 41, 104
23, 31, 85
24, 33, 115
25, 35, 90
26, 11, 65
27, 37, 117
28, 48, 98
29, 35, 100
30, 54, 71
31, 12, 71
32, 39, 110
33, 23, 126
34, 57, 98
35, 4, 69
36, 56, 118
37, 45, 97
38, 17, 86
39, 32, 97
40, 44, 124
41, 50, 121
42, 10, 97
43, 18, 105
44, 45, 68
45, 8, 83
46, 10, 89
47, 5, 95
48, 34, 82
49, 28, 88
50, 27, 103
51, 7, 85
52, 52, 101
53, 47, 103
54, 2, 82
55, 25, 114
56, 0, 76
57, 10, 64
58, 43, 82
59, 47, 97
60, 48, 83
61, 27, 90
62, 12, 84
63, 52, 69
64, 8, 81
65, 22, 106
66, 32, 109
67, 21, 110
68, 22, 91
69, 28, 94
70, 27, 127
71, 55, 124
72, 11, 77
73, 61, 81
74, 2, 94
75, 25, 89
76, 57, 121
77, 12, 77
78, 2, 98
79, 4, 96
80, 13, 106
81, 12, 87
82, 44, 99
83, 53, 96
84, 46, 79
85, 48, 72
86, 56, 115
87, 46, 108
88, 42, 121
89, 12, 94
90, 58, 88
91, 15, 71
92, 10, 110
93, 57, 108
94, 59, 118
95, 19, 95
96, 54, 79
97, 63, 85
98, 51, 123
99, 47, 76
100, 18, 67
101, 46, 121
102, 44, 122
103, 45, 127
104, 18, 122
105, 41, 102
